seed,r_requested,r_actual,n_low,epsilon,L1,L2,mu,R1,R2,Delta,K1_continuous,K1_warm,K1_selected,K1_empirical,direct_bound,warm_bound,selected_bound,direct_cost,selected_cost,empirical_cost,regret,speedup,theory_warm,empirical_warm,agreement,harmful_selected_warm,comparison_complete,candidate_count,reached_candidates,low_reference_grad_norm,high_reference_grad_norm
11,0.050000000000000003,0.050000000000000003,5500,0.001,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,144.8525489036428,144,144,31,50,20.199999999999999,20.199999999999999,14,8.1999999999999993,2.5499999999999998,2.215686274509804,1.7073170731707319,1,1,1,0,1,21,21,3.7650351285235554e-12,2.3889349411324013e-12
11,0.050000000000000003,0.050000000000000003,5500,0.0001,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,257.58830520700411,257,257,31,157,42.850000000000001,42.850000000000001,20,17.850000000000001,7.5499999999999998,1.3642384105960268,1.1204481792717087,1,1,1,0,1,21,21,3.7650351285235554e-12,2.3889349411324013e-12
11,0.050000000000000003,0.050000000000000003,5500,1.0000000000000001e-05,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,458.06397941643729,458,458,63,494,98.900000000000006,98.900000000000006,40,32.900000000000006,13.15,1.5019011406844109,1.2158054711246198,1,1,1,0,1,21,21,3.7650351285235554e-12,2.3889349411324013e-12
12,0.050000000000000003,0.050000000000000003,5500,0.001,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,142.40532932527589,142,142,31,50,24.100000000000001,24.100000000000001,14,10.100000000000001,4.5499999999999998,1.2197802197802203,1.386138613861386,1,1,1,0,1,19,19,8.356805524244436e-12,2.3889349411324013e-12
12,0.050000000000000003,0.050000000000000003,5500,0.0001,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,253.23646501895013,254,254,31,157,55.700000000000003,55.700000000000003,20,21.700000000000003,9.5500000000000007,1.2722513089005236,0.9216589861751151,1,1,1,1,1,19,19,8.356805524244436e-12,2.3889349411324013e-12
12,0.050000000000000003,0.050000000000000003,5500,1.0000000000000001e-05,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,450.32519161424091,450,450,31,494,141.5,141.5,40,38.5,15.550000000000001,1.47588424437299,1.0389610389610389,1,1,1,0,1,19,19,8.356805524244436e-12,2.3889349411324013e-12
13,0.050000000000000003,0.050000000000000003,5500,0.001,1.0526190469445666,1.0481290031906361,0.01,1.0511827592667768,1.0785891330868336,0.2262795843012583,140.53940157528933,140,140,31,50,25,25,14,11,5.5499999999999998,0.98198198198198194,1.2727272727272727,1,1,1,0,1,19,19,5.088887795350516e-13,2.3889349411324013e-12
13,0.050000000000000003,0.050000000000000003,5500,0.0001,1.0526190469445666,1.0481290031906361,0.01,1.0511827592667768,1.0785891330868336,0.2262795843012583,249.91832412052878,249,249,31,157,58.450000000000003,58.450000000000003,20,22.450000000000003,11.550000000000001,0.94372294372294374,0.89086859688195985,1,1,1,1,1,19,19,5.088887795350516e-13,2.3889349411324013e-12
13,0.050000000000000003,0.050000000000000003,5500,1.0000000000000001e-05,1.0526190469445666,1.0481290031906361,0.01,1.0511827592667768,1.0785891330868336,0.2262795843012583,444.42460997497017,444,444,31,494,148.19999999999999,148.19999999999999,40,37.200000000000003,16.550000000000001,1.2477341389728096,1.075268817204301,1,1,1,0,1,19,19,5.088887795350516e-13,2.3889349411324013e-12
11,0.14999999999999999,0.14999999999999999,16500,0.001,1.0674967824135657,1.0481290031906361,0.01,1.123975082957251,1.0785891330868336,0.11728204106407059,84.197759940575693,85,85,16,50,30.75,30.75,14,12.75,3.3999999999999999,2.75,1.0980392156862746,1,1,1,0,1,18,18,3.0405899518763753e-12,2.3889349411324013e-12
11,0.14999999999999999,0.14999999999999999,16500,0.0001,1.0674967824135657,1.0481290031906361,0.01,1.123975082957251,1.0785891330868336,0.11728204106407059,149.7271428737258,149,149,17,157,62.349999999999994,62.349999999999994,20,28.349999999999998,11.550000000000001,1.4545454545454541,0.70546737213403887,1,1,1,1,1,18,18,3.0405899518763753e-12,2.3889349411324013e-12
