seed,r,epsilon,low_steps,high_steps,observed_cost,candidate_sources
11,0.05,0.001,0,18,18.0,direct;legacy_budget;previous_experiment_grid
11,0.05,0.0001,0,36,36.0,direct;legacy_budget;previous_experiment_grid
11,0.05,1e-05,0,42,42.0,direct;legacy_budget;previous_experiment_grid
11,0.05,0.001,1,18,18.05,power_of_two;legacy_budget;previous_experiment_grid
11,0.05,0.0001,1,35,35.05,power_of_two;legacy_budget;previous_experiment_grid
11,0.05,1e-05,1,42,42.05,power_of_two;legacy_budget;previous_experiment_grid
11,0.05,0.001,2,18,18.1,power_of_two;legacy_budget;previous_experiment_grid
11,0.05,0.0001,2,23,23.1,power_of_two;legacy_budget;previous_experiment_grid
11,0.05,1e-05,2,42,42.1,power_of_two;legacy_budget;previous_experiment_grid
11,0.05,0.001,4,17,17.2,power_of_two;legacy_budget;previous_experiment_grid
11,0.05,0.0001,4,22,22.2,power_of_two;legacy_budget;previous_experiment_grid
11,0.05,1e-05,4,42,42.2,power_of_two;legacy_budget;previous_experiment_grid
11,0.05,0.001,8,15,15.4,power_of_two;legacy_budget;previous_experiment_grid
11,0.05,0.0001,8,20,20.4,power_of_two;legacy_budget;previous_experiment_grid
11,0.05,1e-05,8,41,41.4,power_of_two;legacy_budget;previous_experiment_grid
11,0.05,0.001,16,8,8.8,power_of_two;legacy_budget;previous_experiment_grid
11,0.05,0.0001,16,17,17.8,power_of_two;legacy_budget;previous_experiment_grid
11,0.05,1e-05,16,22,22.8,power_of_two;legacy_budget;previous_experiment_grid
11,0.05,0.001,29,6,7.45,local_refinement
11,0.05,0.0001,29,10,11.45,local_refinement
11,0.05,1e-05,29,18,19.45,local_refinement
11,0.05,0.001,30,6,7.5,previous_experiment_grid
11,0.05,0.0001,30,11,12.5,previous_experiment_grid
11,0.05,1e-05,30,19,20.5,previous_experiment_grid
11,0.05,0.001,31,6,7.55,legacy_budget;previous_experiment_grid;local_refinement
11,0.05,0.0001,31,11,12.55,legacy_budget;previous_experiment_grid;local_refinement
11,0.05,1e-05,31,19,20.55,legacy_budget;previous_experiment_grid;local_refinement
11,0.05,0.001,32,6,7.6,power_of_two;legacy_budget;previous_experiment_grid
11,0.05,0.0001,32,11,12.6,power_of_two;legacy_budget;previous_experiment_grid
11,0.05,1e-05,32,19,20.6,power_of_two;legacy_budget;previous_experiment_grid
11,0.05,0.001,33,6,7.65,legacy_budget;previous_experiment_grid
11,0.05,0.0001,33,11,12.65,legacy_budget;previous_experiment_grid
11,0.05,1e-05,33,19,20.65,legacy_budget;previous_experiment_grid
11,0.05,0.001,40,6,8.0,local_refinement
11,0.05,0.0001,40,10,12.0,local_refinement
11,0.05,1e-05,40,18,20.0,local_refinement
11,0.05,0.001,41,6,8.05,cost_comparison_switch_budget
11,0.05,0.0001,41,10,12.05,cost_comparison_switch_budget
11,0.05,1e-05,41,17,19.05,cost_comparison_switch_budget
11,0.05,0.001,42,6,8.1,local_refinement
11,0.05,0.0001,42,10,12.1,local_refinement
11,0.05,1e-05,42,14,16.1,local_refinement
11,0.05,0.001,45,6,8.25,local_refinement
11,0.05,0.0001,45,10,12.25,local_refinement
11,0.05,1e-05,45,13,15.25,local_refinement
11,0.05,0.001,46,6,8.3,cost_comparison_switch_budget
