seed,r,epsilon,method,status,low_steps,high_steps,c1,c2,observed_cost,best_tested_budget,best_tested_cost,direct_cost,cost_ratio,regret_percent,beneficial
11,0.05,0.001,direct,complete,0,18,0.05,1.0,18.0,47,7.35,18.0,1.0,144.89795918367346,False
11,0.05,0.001,initial_certificate,complete,513,5,0.05,1.0,30.650000000000002,47,7.35,18.0,0.5872756933115824,317.0068027210885,False
11,0.05,0.001,cost_comparison,complete,41,6,0.05,1.0,8.05,47,7.35,18.0,2.2360248447204967,9.523809523809534,True
11,0.05,0.0001,direct,complete,0,36,0.05,1.0,36.0,29,11.45,36.0,1.0,214.410480349345,False
11,0.05,0.0001,initial_certificate,complete,911,10,0.05,1.0,55.550000000000004,29,11.45,36.0,0.648064806480648,385.1528384279477,False
11,0.05,0.0001,cost_comparison,complete,46,10,0.05,1.0,12.3,29,11.45,36.0,2.926829268292683,7.423580786026207,True
11,0.05,1e-05,direct,complete,0,42,0.05,1.0,42.0,45,15.25,42.0,1.0,175.40983606557376,False
11,0.05,1e-05,initial_certificate,complete,1620,13,0.05,1.0,94.0,45,15.25,42.0,0.44680851063829785,516.3934426229508,False
11,0.05,1e-05,cost_comparison,complete,66,13,0.05,1.0,16.3,45,15.25,42.0,2.576687116564417,6.8852459016393475,True
11,0.15,0.001,direct,complete,0,18,0.15,1.0,18.0,17,8.55,18.0,1.0,110.52631578947367,False
11,0.15,0.001,initial_certificate,complete,290,5,0.15,1.0,48.5,17,8.55,18.0,0.3711340206185567,467.2514619883041,False
11,0.15,0.001,cost_comparison,complete,20,6,0.15,1.0,9.0,17,8.55,18.0,2.0,5.263157894736836,True
11,0.15,0.0001,direct,complete,0,36,0.15,1.0,36.0,20,13.0,36.0,1.0,176.9230769230769,False
11,0.15,0.0001,initial_certificate,complete,515,10,0.15,1.0,87.25,20,13.0,36.0,0.41260744985673353,571.1538461538462,False
11,0.15,0.0001,cost_comparison,complete,40,11,0.15,1.0,17.0,20,13.0,36.0,2.1176470588235294,30.76923076923077,True
11,0.15,1e-05,direct,complete,0,42,0.15,1.0,42.0,20,20.0,42.0,1.0,110.00000000000001,False
11,0.15,1e-05,initial_certificate,complete,915,18,0.15,1.0,155.25,20,20.0,42.0,0.27053140096618356,676.25,False
11,0.15,1e-05,cost_comparison,complete,62,17,0.15,1.0,26.299999999999997,20,20.0,42.0,1.596958174904943,31.499999999999993,True
11,0.25,0.001,direct,complete,0,18,0.25,1.0,18.0,16,9.0,18.0,1.0,100.0,False
11,0.25,0.001,initial_certificate,complete,223,5,0.25,1.0,60.75,16,9.0,18.0,0.2962962962962963,575.0,False
11,0.25,0.001,cost_comparison,complete,18,5,0.25,1.0,9.5,16,9.0,18.0,1.894736842105263,5.555555555555558,True
11,0.25,0.0001,direct,complete,0,36,0.25,1.0,36.0,19,12.75,36.0,1.0,182.3529411764706,False
11,0.25,0.0001,initial_certificate,complete,397,10,0.25,1.0,109.25,19,12.75,36.0,0.3295194508009153,756.8627450980392,False
11,0.25,0.0001,cost_comparison,complete,37,14,0.25,1.0,23.25,19,12.75,36.0,1.5483870967741935,82.35294117647058,True
