r,epsilon,method,K_median,K_min,K_max,ratio_median,ratio_min,ratio_max,regret_median,beneficial
0.05,1e-05,best_tested_fixed,29.0,29,45,2.159383033419023,1.5300546448087433,2.7540983606557377,0.0,3
0.05,1e-05,cost_comparison,64.0,63,66,1.7355371900826446,1.4408233276157805,2.576687116564417,6.8852459016393475,3
0.05,1e-05,direct,0.0,0,0,1.0,1.0,1.0,115.93830334190231,0
0.05,1e-05,initial_certificate,1620.0,1486,1714,0.4187437686939183,0.39362699156513586,0.44680851063829785,448.58611825192804,0
0.05,0.0001,best_tested_fixed,29.0,29,29,2.491349480968858,2.491349480968858,3.14410480349345,0.0,3
0.05,0.0001,cost_comparison,44.0,44,46,2.2222222222222223,2.2222222222222223,2.926829268292683,12.110726643598625,3
0.05,0.0001,direct,0.0,0,0,1.0,1.0,1.0,149.1349480968858,0
0.05,0.0001,initial_certificate,911.0,836,964,0.648064806480648,0.5787781350482315,0.656934306569343,330.4498269896194,0
0.05,0.001,best_tested_fixed,29.0,29,47,2.1301775147928996,1.9047619047619049,2.4489795918367347,0.0,3
0.05,0.001,cost_comparison,39.0,39,41,2.011173184357542,1.6438356164383563,2.2360248447204967,9.523809523809534,3
0.05,0.001,direct,0.0,0,0,1.0,1.0,1.0,113.01775147928996,0
0.05,0.001,initial_certificate,513.0,470,542,0.5714285714285714,0.5278592375366569,0.5872756933115824,303.5502958579882,0
0.15,1e-05,best_tested_fixed,21.0,20,29,2.1,2.0638820638820636,2.60061919504644,0.0,3
0.15,1e-05,cost_comparison,62.0,61,62,1.596958174904943,1.4840989399293287,1.7391304347826089,31.499999999999993,3
0.15,1e-05,direct,0.0,0,0,1.0,1.0,1.0,110.00000000000001,0
0.15,1e-05,initial_certificate,915.0,875,923,0.2737047898338221,0.27053140096618356,0.2795341098169717,676.25,0
0.15,0.0001,best_tested_fixed,21.0,20,29,2.769230769230769,2.7376425855513307,2.91497975708502,0.0,3
0.15,0.0001,cost_comparison,40.0,39,40,2.1176470588235294,2.0,2.5992779783393503,30.76923076923077,3
0.15,0.0001,direct,0.0,0,0,1.0,1.0,1.0,176.9230769230769,0
0.15,0.0001,initial_certificate,515.0,492,519,0.4193360512521841,0.41260744985673353,0.42452830188679247,571.1538461538462,0
0.15,0.001,best_tested_fixed,19.0,17,20,2.0338983050847457,2.0,2.1052631578947367,0.0,3
0.15,0.001,cost_comparison,20.0,20,20,2.0,2.0,2.0,1.6949152542372836,3
0.15,0.001,direct,0.0,0,0,1.0,1.0,1.0,103.38983050847457,0
0.15,0.001,initial_certificate,290.0,277,292,0.3711340206185567,0.36885245901639346,0.37854889589905366,442.2222222222222,0
0.25,1e-05,best_tested_fixed,29.0,19,44,2.1818181818181817,1.75,2.24,0.0,3
0.25,1e-05,cost_comparison,43.0,42,43,1.6470588235294117,1.4608695652173913,1.696969696969697,32.467532467532465,3
0.25,1e-05,direct,0.0,0,0,1.0,1.0,1.0,118.18181818181816,0
0.25,1e-05,initial_certificate,705.0,684,705,0.21846553966189858,0.21621621621621623,0.22826086956521738,898.7012987012987,0
0.25,0.0001,best_tested_fixed,29.0,19,29,2.526315789473684,2.0869565217391304,2.823529411764706,0.0,3
0.25,0.0001,cost_comparison,36.0,34,37,1.894736842105263,1.5483870967741935,2.3225806451612905,10.144927536231885,3
0.25,0.0001,direct,0.0,0,0,1.0,1.0,1.0,152.6315789473684,0
0.25,0.0001,initial_certificate,397.0,385,397,0.3356643356643357,0.3295194508009153,0.342042755344418,652.6315789473684,0
0.25,0.001,best_tested_fixed,17.0,16,18,1.7560975609756098,1.7142857142857142,2.0,0.0,3
0.25,0.001,cost_comparison,18.0,18,18,1.7142857142857142,1.7142857142857142,1.894736842105263,2.4390243902439046,3
0.25,0.001,direct,0.0,0,0,1.0,1.0,1.0,75.60975609756098,0
0.25,0.001,initial_certificate,223.0,217,223,0.301255230125523,0.2962962962962963,0.3090128755364807,469.0476190476191,0
